Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West),Flinders St-Spark Lane,Alfred Place,Queen Street (West),Lygon Street (East),Flinders St-Swanston St (West),Spring St-Lonsdale St (South)
10/02/2015,2,0,7,2,11,36,35,0,29,0,3,0,3,2,1,44,32,15,4,31,26,19,14,73,10,38,0,5,15,25,12,3,1,27,5,1,83,1
10/02/2015,3,0,7,1,5,28,26,0,10,0,0,6,3,0,0,31,31,11,14,23,20,12,1,61,5,30,0,5,36,26,11,0,2,7,4,7,58,5
10/02/2015,4,0,14,3,8,42,34,0,5,0,6,0,3,0,1,59,22,36,10,24,33,14,1,39,13,7,10,3,57,31,8,4,2,2,0,3,92,8
10/02/2015,5,1,38,31,105,68,79,0,20,0,59,15,12,1,18,106,99,73,48,70,140,171,33,26,43,24,12,7,135,24,12,14,30,14,15,9,251,23
10/02/2015,6,2,231,183,721,144,185,0,64,0,415,126,100,11,140,327,523,276,240,129,504,729,168,104,213,30,17,27,411,60,24,72,44,58,73,14,677,63
10/02/2015,7,0,816,793,2272,390,538,0,212,0,1396,314,222,52,277,980,1141,644,617,299,1322,1756,432,153,575,85,47,71,965,110,97,206,150,207,248,60,1550,206
10/02/2015,8,22,1865,1830,4787,1030,1114,0,610,0,2640,565,311,74,438,1726,2579,1284,969,576,2544,3539,1117,323,957,237,0,181,2059,315,176,431,298,520,705,176,3271,742
10/02/2015,9,105,1162,944,2734,869,1263,0,665,0,1362,381,177,26,224,1164,1350,578,437,639,1801,2115,621,250,420,180,0,185,1264,306,235,288,188,430,539,166,2769,600
10/02/2015,10,23,696,471,998,966,1593,0,1134,0,470,232,127,29,146,1039,876,347,296,909,1602,1367,486,384,339,334,0,203,945,369,222,181,147,330,500,186,2405,577
10/02/2015,11,14,663,415,864,972,2220,0,1481,0,412,199,189,35,181,1231,1030,402,342,1104,1821,1236,470,529,379,535,0,233,1163,489,227,148,156,301,513,258,2825,471
